,Country,Rank,Title,Artists,Album,Explicit,Duration
71,Argentina,22,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
72,Argentina,23,Loco,Beéle,Loco,0,3:24
73,Argentina,24,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29
74,Argentina,25,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
75,Argentina,26,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
76,Argentina,27,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
77,Argentina,28,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
78,Argentina,29,Amarillo,J Balvin,Colores,0,2:37
79,Argentina,30,ALMA DINAMITA,WOS,Tres Puntos Suspensivos,0,2:53
80,Argentina,31,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30
81,Argentina,32,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49
82,Argentina,33,High,Maria Becerra,High,1,3:07
83,Argentina,34,Ya No Más,"Fer Palacio, DJ Alex, Santiago Saez",Ya No Más,0,2:38
84,Argentina,35,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
85,Argentina,36,Flasheaste Amor,"Agapornis, Hernan y La Champion's Liga, Lauro",Flasheaste Amor,0,2:55
86,Argentina,37,Como Llora,Juanfran,Como Llora,0,3:07
87,Argentina,38,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31
88,Argentina,39,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
89,Argentina,40,Muévelo,"Nicky Jam, Daddy Yankee",Muévelo,0,3:14
90,Argentina,41,Dónde Estás,KHEA,Dónde Estás,0,2:33
91,Argentina,42,Recuerdo,"TINI, Mau y Ricky",Recuerdo,0,3:20
92,Argentina,43,Bounce,Cazzu,Bonus Trap,0,2:13
93,Argentina,44,La Cama - Remix,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro",La Cama (Remix),0,5:30
94,Argentina,45,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
95,Argentina,46,La Pared 360,"Lenny Tavárez, Justin Quiles",La Pared 360,1,2:34
96,Argentina,47,Moon,"Maria Becerra, DANI",Moon,0,3:22
97,Argentina,48,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Modo Avión,1,5:04
98,Argentina,49,ALGO DEL VACÍO,"WOS, Manu Oliva",Tres Puntos Suspensivos,0,3:33
99,Argentina,50,Par-Tusa,El Dipy,Par-Tusa,1,3:10
100,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
101,Australia,2,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
102,Australia,3,Blinding Lights,The Weeknd,After Hours,0,3:20
103,Australia,4,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
104,Australia,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
105,Australia,6,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
106,Australia,7,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
107,Australia,8,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
108,Australia,9,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
109,Australia,10,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
110,Australia,11,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
111,Australia,12,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
112,Australia,13,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
113,Australia,14,Sunday Best,Surfaces,Where the Light Is,0,2:38
114,Australia,15,Watermelon Sugar,Harry Styles,Fine Line,0,2:54
115,Australia,16,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
116,Australia,17,In Your Eyes,The Weeknd,After Hours,1,3:57
117,Australia,18,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
118,Australia,19,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
119,Australia,20,Pump It Up,Endor,Pump It Up,0,2:30
120,Australia,21,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),1,4:02
121,Australia,22,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
122,Australia,23,GOOBA,6ix9ine,GOOBA,1,2:12
123,Australia,24,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
124,Australia,25,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
125,Australia,26,This City,Sam Fischer,This City,0,3:14
126,Australia,27,After Party,Don Toliver,Heaven Or Hell,1,2:47
127,Australia,28,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26
128,Australia,29,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
129,Australia,30,Circles,Post Malone,Hollywood's Bleeding,0,3:35
130,Australia,31,Party Girl,StaySolidRocky,Party Girl,0,2:27
131,Australia,32,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02
132,Australia,33,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0,3:28
133,Australia,34,Rover (feat. DTG),"S1mba, DTG",Rover (feat. DTG),1,2:47
134,Australia,35,Adore You,Harry Styles,Fine Line,0,3:27
135,Australia,36,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
136,Australia,37,Live In Life,The Rubens,Live In Life,0,3:36
137,Australia,38,Say So,Doja Cat,Hot Pink,1,3:57
138,Australia,39,Ride It,Regard,Ride It,0,2:37
139,Australia,40,Righteous,Juice WRLD,Righteous,1,4:03
140,Australia,41,You should be sad,Halsey,Manic,1,3:25
141,Australia,42,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
142,Australia,43,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,0,2:48
143,Australia,44,Falling,Trevor Daniel,Nicotine,0,2:39
144,Australia,45,Bad Child,Tones And I,Bad Child/Can't Be Happy All The Time,1,3:41
145,Australia,46,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57
146,Australia,47,Memories,Maroon 5,Memories,0,3:09
147,Australia,48,Know Your Worth,"Khalid, Disclosure",Know Your Worth,0,3:01
148,Australia,49,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19
149,Australia,50,Go Crazy,"Chris Brown, Young Thug",Slime & B,1,2:56
150,Austria,1,Roadrunner,Bonez MC,Roadrunner,0,2:29
151,Austria,2,Komm Komm,Capital Bra,Komm Komm,0,2:40
152,Austria,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
153,Austria,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
154,Austria,5,GOOBA,6ix9ine,GOOBA,1,2:12
155,Austria,6,Fame,Apache 207,Fame,0,2:53
156,Austria,7,Blinding Lights,The Weeknd,After Hours,0,3:20
157,Austria,8,Nicht verdient,"Capital Bra, Loredana",Nicht verdient,0,2:56
158,Austria,9,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
159,Austria,10,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
160,Austria,11,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
161,Austria,12,Roller,Apache 207,Platte,1,2:37
162,Austria,13,FAVELA,Dardan,FAVELA,1,2:39
163,Austria,14,Airwaves,Pashanim,Airwaves,0,2:58
164,Austria,15,Salt,Ava Max,Salt,0,3:00
165,Austria,16,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
166,Austria,17,Emotions,Ufo361,Rich Rich,0,2:26
167,Austria,18,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
168,Austria,19,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
169,Austria,20,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
170,Austria,21,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28
171,Austria,22,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
172,Austria,23,GEHT NICH GIBS NICH,"KC Rebell, Summer Cem",GEHT NICH GIBS NICH,0,3:00
173,Austria,24,Kings & Queens,Ava Max,Kings & Queens,0,2:42
174,Austria,25,Maison,Luciano,Maison,0,3:13
175,Austria,26,90-60-111,Shirin David,90-60-111,1,2:21
176,Austria,27,Fingertips,Tom Gregory,Fingertips,0,2:45
177,Austria,28,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
178,Austria,29,Ich würd' lügen,KAYEF,Struggle Is Real,0,2:43
179,Austria,30,Shotz Fired,Bonez MC,Shotz Fired,1,2:59
180,Austria,31,Falling,Trevor Daniel,Nicotine,0,2:39
181,Austria,32,The Passenger (LaLaLa),"LUM!X, MOKABY & D.T.E, Gabry Ponte",The Passenger (LaLaLa),0,2:39
182,Austria,33,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
183,Austria,34,Late Night,Luciano,Late Night,0,3:20
184,Austria,35,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),0,3:06
185,Austria,36,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
186,Austria,37,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
187,Austria,38,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19
188,Austria,39,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
189,Austria,40,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
190,Austria,41,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
191,Austria,42,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
192,Austria,43,Close Your Eyes,"Felix Jaehn, VIZE, Miss Li",Close Your Eyes,0,2:40
193,Austria,44,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
194,Austria,45,Never Let Me Down,"VIZE, Tom Gregory",Never Let Me Down,0,2:33
195,Austria,46,Like I Love You,"Nico Santos, Topic",Nico Santos,0,3:23
196,Austria,47,Ride It,Regard,Ride It,0,2:37
197,Austria,48,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14
198,Austria,49,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
199,Austria,50,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12
200,Belgium,1,Blinding Lights,The Weeknd,After Hours,0,3:20
201,Belgium,2,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
202,Belgium,3,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
203,Belgium,4,Kom Wat Dichterbij - Uit Liefde Voor Muziek,"Regi, Jake Reese, OT",Vergeet De Tijd,0,3:24
204,Belgium,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
205,Belgium,6,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
206,Belgium,7,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
207,Belgium,8,GOOBA,6ix9ine,GOOBA,1,2:12
208,Belgium,9,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
209,Belgium,10,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
210,Belgium,11,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
211,Belgium,12,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
212,Belgium,13,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
213,Belgium,14,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
214,Belgium,15,Sunday Best,Surfaces,Where the Light Is,0,2:38
215,Belgium,16,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
216,Belgium,17,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
217,Belgium,18,Ride It,Regard,Ride It,0,2:37
218,Belgium,19,Falling,Trevor Daniel,Nicotine,0,2:39
219,Belgium,20,Never Seen The Rain,Tones And I,Never Seen The Rain (Alternate Version),0,3:20
220,Belgium,21,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
221,Belgium,22,In Your Eyes,The Weeknd,After Hours,1,3:57
222,Belgium,23,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
223,Belgium,24,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28
224,Belgium,25,Physical,Dua Lipa,Future Nostalgia,0,3:13
225,Belgium,26,Say So,Doja Cat,Hot Pink,1,3:57
226,Belgium,27,Zo Ver Weg - Uit Liefde Voor Muziek,"Regi, Jake Reese, OT",Vergeet De Tijd,0,4:05
227,Belgium,28,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
228,Belgium,29,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0,3:28
229,Belgium,30,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02
230,Belgium,31,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
231,Belgium,32,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,0,2:48
232,Belgium,33,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
233,Belgium,34,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
234,Belgium,35,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
235,Belgium,36,Party Girl,StaySolidRocky,Party Girl,0,2:27
236,Belgium,37,Some Say,Nea,Some Say,0,2:55
237,Belgium,38,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12
238,Belgium,39,Skechers,DripReport,Skechers,1,1:46
239,Belgium,40,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",0,2:59
240,Belgium,41,everything i wanted,Billie Eilish,everything i wanted,0,4:05
241,Belgium,42,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14
242,Belgium,43,Salt,Ava Max,Salt,0,3:00
243,Belgium,44,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
244,Belgium,45,Adore You,Harry Styles,Fine Line,0,3:27
245,Belgium,46,Little Submarine - Live Uit Liefde Voor Muziek,The Starlings,Don't Look Back,0,3:21
246,Belgium,47,Savage,Megan Thee Stallion,Suga,1,2:35
247,Belgium,48,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
248,Belgium,49,What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,0,3:00
249,Belgium,50,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
250,Bolivia,1,Rojo,J Balvin,Colores,0,2:30
251,Bolivia,2,Favorito,Camilo,Por Primera Vez,0,3:29
252,Bolivia,3,Blinding Lights,The Weeknd,After Hours,0,3:20
253,Bolivia,4,Bajo La Mesa,"Morat, Sebastian Yatra",Bajo La Mesa,0,2:37
254,Bolivia,5,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
255,Bolivia,6,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
256,Bolivia,7,Tattoo,Rauw Alejandro,Tattoo,0,3:22
257,Bolivia,8,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17
258,Bolivia,9,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09
259,Bolivia,10,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52
260,Bolivia,11,Relación,Sech,1 of 1,0,3:04
261,Bolivia,12,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
262,Bolivia,13,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,1,3:47
263,Bolivia,14,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46
264,Bolivia,15,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29
265,Bolivia,16,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30
266,Bolivia,17,Diosa,Myke Towers,Easy Money Baby,1,3:34
267,Bolivia,18,Morado,J Balvin,Colores,0,3:20
268,Bolivia,19,Jangueo,"Alex Rose, Rafa Pabön",LOST,0,4:19
269,Bolivia,20,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
270,Bolivia,21,Amarillo,J Balvin,Colores,0,2:37
271,Bolivia,22,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
272,Bolivia,23,Tak Tiki Tak,Harry Nach,Tak Tiki Tak,1,3:32
273,Bolivia,24,Azul,J Balvin,Colores,0,3:25
274,Bolivia,25,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
275,Bolivia,26,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
276,Bolivia,27,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
277,Bolivia,28,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
278,Bolivia,29,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,0,2:50
279,Bolivia,30,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
280,Bolivia,31,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
281,Bolivia,32,LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,4:02
282,Bolivia,33,El Efecto,"Rauw Alejandro, Chencho Corleone",El Efecto,0,3:37
283,Bolivia,34,Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
284,Bolivia,35,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31
285,Bolivia,36,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Sigues Con El (Remix),0,3:09
286,Bolivia,37,Djadja,Aya Nakamura,NAKAMURA,0,2:51
287,Bolivia,38,La Difícil,Camilo,Por Primera Vez,0,2:38
288,Bolivia,39,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Famouz,0,5:09
289,Bolivia,40,La Mitad,"Camilo, Christian Nodal",Por Primera Vez,0,2:57
290,Bolivia,41,Vete,Bad Bunny,YHLQMDLG,1,3:12
291,Bolivia,42,ADMV,Maluma,ADMV,0,3:13
292,Bolivia,43,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
293,Bolivia,44,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",LAS QUE NO IBAN A SALIR,1,3:29
294,Bolivia,45,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49
295,Bolivia,46,Detente,"Mike Bahía, Danny Ocean",Navegando,0,3:01
296,Bolivia,47,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Para Aventuras y Curiosidades,1,3:24
297,Bolivia,48,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,0,5:01
298,Bolivia,49,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
299,Bolivia,50,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Modo Avión,1,5:04
300,Brazil,1,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,O Embaixador in Cariri (Ao Vivo),0,3:57
301,Brazil,2,Saudade Sua,Gusttavo Lima,Saudade Sua,0,3:30
302,Brazil,3,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
303,Brazil,4,Liberdade Provisória - Ao Vivo,Henrique & Juliano,"Ao Vivo no Ibirapuera, Vol. 1",0,3:07
